id,name,avatar_url,total_stake,own_stake,delegated_stake,allocated_stake,available_stake,number_of_allocations,number_of_subgraphs,query_fees_earned,indexing_rewards,total_rewards,is_active,is_underserving,is_suspicious,indexer_size,aer,qfr,aer_normalized,qfr_normalized,final_score,performance_flag,penalty,delegator_rewards,delegator_rewards_percentage
0xdc7daef4d0751a9f6ec28b06d6d9475b13eb0918,bitnordic.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmdPDqs7xGepAqeKxxdnUx47bjtZQvyiGEN6tEYXNJy7SG,4377778.384295951,1534436.9321728162,2843341.4521231344,4377884.8,-106.41570404917002,12,12,6566.800165450447,492143.82324570016,1470787.1434221854,True,False,False,medium,36.482373333333335,0.0014999938247462444,1.66,1.04,9.96,Fair,0.0,978643.3201764852,66.54%
0xdeb712db301285ed483ef9e02dd08a1980f273f1,easy2stake-com.eth,,470392.9308294185,100002.71072818749,370390.220101231,461244.0,9148.930829418474,361,361,1248.133469075122,288916.8695830749,552361.9450829023,True,False,False,small,0.2555368421052632,0.0027060156209622716,1.0,1.08,9.92,Excellent,0.0,263445.07549982745,47.69%
0xdec965f0604125be05cd8a136c85d02ef344d61a,stakesquid-3.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=Qme3AVLfwuMZsFsLWWNbJzyJZcUeKJGaGk2hwWx6iQVfPj,5771727.811296935,771109.0760677316,5000618.7352292035,6026943.0,-255215.1887030648,364,364,22620.74792857072,919949.2153783502,2969679.518650274,True,False,False,medium,1.6557535714285714,0.0037532705931631874,1.03,1.11,9.89,Excellent,0.0,2049730.3032719237,69.02%
0xdecba5154aab37ae5e381a19f804f3af4d1bcbb5,0y.decisionbasis.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=Qmd2XkA6A2YGvmboe5ywYZ8caQToG8ubQfZyURoPuNw8wk,35166269.41348495,5042162.739726522,30124106.67375843,35166256.0,13.413484953343868,387,387,13220.316288456179,2518424.93809866,10406768.85537574,True,False,False,large,4.543443927648579,0.0003759375546960751,1.08,1.01,9.99,Poor,0.0,7888343.917277081,75.80%
0xe0ceec6daa59cc951f3f71d6fc4221e55ef6c386,arb.stake-machine.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=Qmep9GxPJStGzAc3uRLac38ddoGS1CWcZbiqkaz8FoeQ9n,34377732.74779083,3337813.5548946117,31039919.192896213,34376900.0,832.7477908283472,30,30,4271.427772890913,1547415.154292692,7839429.671682681,True,False,False,large,57.29483333333334,0.00012425284923570516,2.03,1.0,10.0,Poor,0.0,6292014.5173899885,80.26%
0xe13840a2e92e0cb17a246609b432d0fa2e418774,lunanova-indexer.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmNMxGdnk5sKKVwnasZPiDqcZ2dL6LUBFwGzCepTJwWdTn,14796695.116512554,1000000.0530135041,13796695.06349905,14786510.52,10184.596512554213,827,827,75723.68327822347,4800333.274414986,13338732.472703163,True,False,False,medium,1.7879698331318017,0.0051211327497316435,1.03,1.15,9.85,Excellent,0.0,8538399.198288176,64.01%
0xe48b586eeb81bde60f14b0b8d80ddd06c7a24720,0xe48b586eeb81bde60f14b0b8d80ddd06c7a24720,,46774857.49094655,46774857.49094655,0.0,46774747.0,110.49094655364752,111,111,4244.497441145616,1773790.0018634445,1773790.0018634445,True,False,False,large,21.069705855855855,9.074335433916117e-05,1.38,1.0,10.0,Poor,0.0,0.0,0.00%
0xe63e935fba572784d5aa40715e372e7948bbdb12,chorusone-thegraph.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmeiTDjGd5YGGN8WT6WwmQE6c43tseiCqED7GWzeYtf7xf,39281213.85789056,3950107.9226898933,35331105.93520067,39281213.85789057,-7.450580596923828e-09,7,7,1080.3370571165326,934860.7072960867,6232404.715307245,True,True,True,large,280.58009898493265,2.750263932843107e-05,6.05,1.0,10.0,Poor,0.9,5297544.008011159,85.00%
0xe6de2325ef1aac1f058fae59d3c38a472f569846,0xe6de2325ef1aac1f058fae59d3c38a472f569846,,14999009.97,14999004.0,5.97,14999009.0,0.9700000006705523,38,38,9954.95576869886,3930235.276489764,3930235.276489764,True,False,False,medium,39.471076315789475,0.0006637075668598411,1.71,1.02,9.98,Poor,0.0,0.0,0.00%
0xe91273727203bcc827521fc8b0c762d435c3c5d0,0xe91273727203bcc827521fc8b0c762d435c3c5d0,,90031286.6078278,90031031.8878278,254.72,90031274.0,12.607827797532082,186,186,7130.773107325582,23965127.212104518,23965127.212104518,True,False,False,mega,12.100977688172042,7.92032900403651e-05,1.22,1.0,10.0,Poor,0.0,0.0,0.00%
